date,week,dow,status,total,in,out,101051044,102051044,103051044,104051044
2020-01-18,03,6,,320,168,152,22,122,146,30
2020-01-19,03,7,,143,66,77,17,53,49,24
2020-01-20,04,1,,265,131,134,10,124,121,10
2020-01-21,04,2,,267,127,140,10,131,117,9
2020-01-22,04,3,,292,143,149,6,139,137,10
2020-01-23,04,4,,311,153,158,11,147,142,11
2020-01-24,04,5,,254,131,123,12,112,119,11
2020-01-25,04,6,,333,165,168,23,138,142,30
2020-01-26,04,7,,94,46,48,10,32,36,16
2020-01-27,05,1,,283,130,153,10,140,120,13
2020-01-28,05,2,,179,86,93,6,78,80,15
2020-01-29,05,3,,178,87,91,7,83,80,8
2020-01-30,05,4,,221,111,110,4,104,107,6
2020-01-31,05,5,,284,139,145,16,131,123,14
2020-02-01,05,6,,237,116,121,11,101,105,20
2020-02-02,05,7,,29,16,13,2,8,14,5
2020-02-03,06,1,,372,182,190,14,164,168,26
2020-02-04,06,2,,156,79,77,1,62,78,15
2020-02-05,06,3,,294,147,147,8,129,139,18
2020-02-06,06,4,,308,154,154,8,144,146,10
2020-02-07,06,5,,333,166,167,11,147,155,20
2020-02-08,06,6,,386,199,187,35,157,164,30
2020-02-09,06,7,,253,128,125,20,98,108,27
2020-02-10,07,1,,278,134,144,7,127,127,17
2020-02-11,07,2,,172,88,84,3,76,85,8
2020-02-12,07,3,,370,178,192,19,164,159,28
2020-02-13,07,4,,201,98,103,3,99,95,4
2020-02-14,07,5,,336,175,161,30,147,145,14
2020-02-15,07,6,,552,274,278,39,229,235,49
2020-02-16,07,7,,326,149,177,15,141,134,36
2020-02-17,08,1,,238,114,124,1,112,113,12
2020-02-18,08,2,,353,164,189,8,170,156,19
2020-02-19,08,3,,185,90,95,13,90,77,5
2020-02-20,08,4,,398,197,201,21,177,176,24
2020-02-21,08,5,,351,171,180,15,168,156,12
2020-02-22,08,6,,552,277,275,36,218,241,57
2020-02-23,08,7,,489,226,263,36,202,190,61
2020-02-24,09,1,,490,242,248,20,214,222,34
2020-02-25,09,2,,269,129,140,14,116,115,24
2020-02-26,09,3,,144,70,74,8,69,62,5
2020-02-27,09,4,,145,73,72,3,70,70,2
2020-02-28,09,5,,372,180,192,22,159,158,33
2020-02-29,09,6,,162,88,74,8,67,80,7
2020-03-01,09,7,,239,113,126,10,95,103,31
2020-03-02,10,1,,85,38,47,2,40,36,7
2020-03-03,10,2,,370,182,188,19,166,163,22
2020-03-04,10,3,,372,178,194,15,177,163,17
2020-03-05,10,4,,117,58,59,6,54,52,5
2020-03-06,10,5,,350,169,181,19,155,150,26
2020-03-07,10,6,,367,171,196,17,160,154,36
2020-03-08,10,7,,322,158,164,24,122,134,42
2020-03-09,11,1,,182,87,95,10,82,77,13
2020-03-10,11,2,,224,107,117,6,104,101,13
2020-03-11,11,3,,477,239,238,26,210,213,28
2020-03-12,11,4,,455,230,225,19,213,211,12
2020-03-13,11,5,,340,170,170,12,157,158,13
2020-03-14,11,6,,668,317,351,28,270,289,81
2020-03-15,11,7,,666,321,345,29,268,292,77
2020-03-16,12,1,,445,227,218,28,194,199,24
2020-03-17,12,2,,287,139,148,12,130,127,18
2020-03-18,12,3,,311,147,164,21,129,126,35
2020-03-19,12,4,,316,156,160,19,133,137,27
2020-03-20,12,5,,264,136,128,18,110,118,18
2020-03-21,12,6,,218,105,113,14,93,91,20
2020-03-22,12,7,,102,55,47,15,35,40,12
2020-03-23,13,1,,122,58,64,9,53,49,11
2020-03-24,13,2,,81,39,42,2,35,37,7
2020-03-25,13,3,,96,46,50,3,42,43,8
2020-03-26,13,4,,67,35,32,0,30,35,2
2020-03-27,13,5,,111,55,56,5,49,50,7
2020-03-28,13,6,,103,54,49,6,39,48,10
2020-03-29,13,7,,10,0,10,0,8,0,2
2020-03-30,14,1,,53,27,26,2,24,25,2
2020-03-31,14,2,,70,34,36,2,28,32,8
2020-04-01,14,3,,90,47,43,11,32,36,11
2020-04-02,14,4,,88,45,43,3,36,42,7
2020-04-03,14,5,,86,39,47,4,36,35,11
2020-04-04,14,6,,106,52,54,7,38,45,16
2020-04-05,14,7,,77,37,40,6,33,31,7
2020-04-06,15,1,,102,53,49,7,44,46,5
2020-04-07,15,2,,138,67,71,6,53,61,18
2020-04-08,15,3,,104,55,49,7,38,48,11
2020-04-09,15,4,,117,61,56,11,45,50,11
2020-04-10,15,5,,185,96,89,12,77,84,12
2020-04-11,15,6,,156,74,82,11,59,63,23
2020-04-12,15,7,,63,30,33,5,21,25,12
2020-04-13,16,1,,69,36,33,10,21,26,12
2020-04-14,16,2,,166,82,84,11,69,71,15
2020-04-15,16,3,,168,78,90,11,78,67,12
2020-04-16,16,4,,145,75,70,5,63,70,7
2020-04-17,16,5,,151,73,78,9,69,64,9
2020-04-18,16,6,,177,83,94,12,76,71,18
2020-04-19,16,7,,66,29,37,6,28,23,9
2020-04-20,17,1,,150,71,79,12,54,59,25
2020-04-21,17,2,,177,91,86,11,73,80,13
2020-04-22,17,3,,230,114,116,13,95,101,21
2020-04-23,17,4,,253,132,121,21,98,111,23
2020-04-24,17,5,,222,106,116,9,100,97,16
2020-04-25,17,6,,226,118,108,14,82,104,26
2020-04-26,17,7,,90,47,43,8,29,39,14
2020-04-27,18,1,,159,81,78,9,60,72,18
2020-04-28,18,2,,76,37,39,4,34,33,5
2020-04-29,18,3,,284,140,144,14,121,126,23
2020-04-30,18,4,,77,39,38,4,29,35,9
2020-05-01,18,5,,19,9,10,1,7,8,3
2020-05-02,18,6,,113,51,62,5,50,46,12
2020-05-03,18,7,,165,81,84,14,65,67,19
2020-05-04,19,1,,304,147,157,13,131,134,26
2020-05-05,19,2,,272,132,140,13,115,119,25
2020-05-06,19,3,,267,135,132,13,111,122,21
2020-05-07,19,4,,281,142,139,9,121,133,18
2020-05-08,19,5,,235,115,120,13,95,102,25
2020-05-09,19,6,,333,161,172,16,141,145,31
2020-05-10,19,7,,124,57,67,5,53,52,14
2020-05-11,20,1,,596,307,289,31,254,276,35
2020-05-12,20,2,,596,296,300,21,273,275,27
2020-05-13,20,3,,291,140,151,17,130,123,21
2020-05-14,20,4,,459,215,244,19,206,196,38
2020-05-15,20,5,,455,226,229,22,194,204,35
2020-05-16,20,6,,941,468,473,56,384,412,89
2020-05-17,20,7,,801,377,424,30,348,347,76
2020-05-18,21,1,,864,436,428,30,368,406,60
2020-05-19,21,2,,911,450,461,34,415,416,46
2020-05-20,21,3,,916,477,439,50,385,427,54
2020-05-21,21,4,,940,459,481,47,411,412,70
2020-05-22,21,5,,861,423,438,35,379,388,59
2020-05-23,21,6,,499,236,263,21,219,215,44
2020-05-24,21,7,,976,496,480,55,394,441,86
2020-05-25,22,1,,953,476,477,38,408,438,69
2020-05-26,22,2,,1033,524,509,39,443,485,66
2020-05-27,22,3,,1097,550,547,48,466,502,81
2020-05-28,22,4,,995,504,491,30,424,474,67
2020-05-29,22,5,,1005,509,496,40,421,469,75
2020-05-30,22,6,,1291,660,631,63,508,597,123
2020-05-31,22,7,,1105,556,549,84,419,472,130
2020-06-01,23,1,,1165,560,605,57,486,503,119
2020-06-02,23,2,,972,474,498,40,417,434,81
2020-06-03,23,3,,601,302,299,23,254,279,45
2020-06-04,23,4,,276,135,141,13,110,122,31
2020-06-05,23,5,,537,264,273,22,234,242,39
2020-06-06,23,6,,1321,642,679,57,518,585,161
2020-06-07,23,7,,292,132,160,20,110,112,50
2020-06-08,24,1,,0,0,0,0,0,0,0
2020-06-09,24,2,,237,124,113,8,97,116,16
2020-06-10,24,3,,266,137,129,11,117,126,12
2020-06-11,24,4,,808,385,423,30,362,355,61
2020-06-12,24,5,,781,378,403,40,345,338,58
2020-06-13,24,6,,1626,912,714,71,680,841,34
2020-06-14,24,7,,1189,550,639,54,482,496,157
2020-06-15,25,1,,971,492,479,54,398,438,81
2020-06-16,25,2,,938,454,484,31,412,423,72
2020-06-17,25,3,,879,442,437,37,357,405,80
2020-06-18,25,4,,810,416,394,29,339,387,55
2020-06-19,25,5,,946,457,489,40,419,417,70
2020-06-20,25,6,,1202,606,596,45,468,561,128
2020-06-21,25,7,,930,449,481,40,390,409,91
2020-06-22,26,1,,934,467,467,32,410,435,57
2020-06-23,26,2,,1069,521,548,23,471,498,77
2020-06-24,26,3,,962,482,480,28,408,454,72
2020-06-25,26,4,,942,480,462,41,393,439,69
2020-06-26,26,5,,835,406,429,27,366,379,63
2020-06-27,26,6,,1016,503,513,39,398,464,115
2020-06-28,26,7,,912,443,469,55,352,388,117
2020-06-29,27,1,,845,415,430,29,376,386,54
2020-06-30,27,2,,1062,530,532,32,457,498,75
2020-07-01,27,3,,722,357,365,22,300,335,65
2020-07-02,27,4,,848,411,437,30,340,381,97
2020-07-03,27,5,,733,374,359,16,305,358,54
2020-07-04,27,6,,1094,553,541,44,450,509,91
2020-07-05,27,7,,806,398,408,46,328,352,80
2020-07-06,28,1,,807,386,421,24,371,362,50
2020-07-07,28,2,,1065,539,526,41,464,498,62
2020-07-08,28,3,,971,487,484,29,410,458,74
2020-07-09,28,4,,926,463,463,25,403,438,60
2020-07-10,28,5,,723,358,365,31,322,327,43
2020-07-11,28,6,,803,391,412,26,332,365,80
2020-07-12,28,7,,605,296,309,29,243,267,66
2020-07-13,29,1,,909,427,482,29,389,398,93
2020-07-14,29,2,,819,397,422,39,327,358,95
2020-07-15,29,3,,848,422,426,29,374,393,52
2020-07-16,29,4,,740,366,374,18,330,348,44
2020-07-17,29,5,,679,328,351,14,316,314,35
2020-07-18,29,6,,976,475,501,44,392,431,109
2020-07-19,29,7,,714,342,372,27,281,315,91
2020-07-20,30,1,,919,449,470,33,404,416,66
2020-07-21,30,2,,893,443,450,24,385,419,65
2020-07-22,30,3,,606,298,308,22,271,276,37
2020-07-23,30,4,,935,479,456,34,382,445,74
2020-07-24,30,5,,674,329,345,15,293,314,52
2020-07-25,30,6,,799,399,400,26,336,373,64
2020-07-26,30,7,,733,343,390,29,306,314,84
2020-07-27,31,1,,803,400,403,25,357,375,46
2020-07-28,31,2,,766,372,394,21,348,351,46
2020-07-29,31,3,,866,424,442,24,386,400,56
2020-07-30,31,4,,709,342,367,26,309,316,58
2020-07-31,31,5,,619,317,302,22,266,295,36
2020-08-01,31,6,,586,294,292,24,238,270,54
2020-08-02,31,7,,544,260,284,26,227,234,57
2020-08-03,32,1,,469,242,227,19,195,223,32
2020-08-04,32,2,,744,367,377,17,331,350,46
2020-08-05,32,3,,920,450,470,24,396,426,74
2020-08-06,32,4,,737,365,372,21,326,344,46
2020-08-07,32,5,,638,317,321,20,277,297,44
2020-08-08,32,6,,561,273,288,15,247,258,41
2020-08-09,32,7,,417,212,205,19,167,193,38
2020-08-10,33,1,,606,300,306,22,268,278,38
2020-08-11,33,2,,698,346,352,28,310,318,42
2020-08-12,33,3,,636,326,310,38,261,288,49
2020-08-13,33,4,,505,257,248,20,204,237,44
2020-08-14,33,5,,694,351,343,32,284,319,59
2020-08-15,33,6,,725,343,382,34,312,309,70
2020-08-16,33,7,,484,230,254,20,208,210,46
2020-08-17,34,1,,798,389,409,26,350,363,59
2020-08-18,34,2,,783,403,380,51,327,352,53
2020-08-19,34,3,,880,438,442,31,364,407,78
2020-08-20,34,4,,731,366,365,19,323,347,42
2020-08-21,34,5,,763,379,384,31,322,348,62
2020-08-22,34,6,,716,351,365,33,290,318,75
2020-08-23,34,7,,376,182,194,20,153,162,41
2020-08-24,35,1,,968,476,492,27,431,449,61
2020-08-25,35,2,,1015,507,508,31,441,476,67
2020-08-26,35,3,,922,464,458,28,400,436,58
2020-08-27,35,4,,943,473,470,36,418,437,52
2020-08-28,35,5,,375,177,198,7,174,170,24
2020-08-29,35,6,,159,82,77,8,58,74,19
2020-08-30,35,7,,387,178,209,22,148,156,61
2020-08-31,36,1,,787,390,397,23,348,367,49
2020-09-01,36,2,,867,444,423,26,388,418,35
2020-09-02,36,3,,1118,548,570,34,505,514,65
2020-09-03,36,4,,1000,473,527,19,470,454,57
2020-09-04,36,5,,919,453,466,17,430,436,36
2020-09-05,36,6,,1102,519,583,30,476,489,107
2020-09-06,36,7,,633,291,342,28,269,263,73
2020-09-07,37,1,,726,378,348,15,315,363,33
2020-09-08,37,2,,1077,525,552,22,496,503,56
2020-09-09,37,3,,1011,519,492,33,441,486,51
2020-09-10,37,4,,922,459,463,24,416,435,47
2020-09-11,37,5,,859,433,426,26,390,407,36
2020-09-12,37,6,,1051,510,541,43,432,467,109
2020-09-13,37,7,,797,384,413,47,326,337,87
2020-09-14,38,1,,933,472,461,23,412,449,49
2020-09-15,38,2,,1069,525,544,20,497,505,47
2020-09-16,38,3,,981,472,509,27,445,445,64
2020-09-17,38,4,,935,453,482,27,427,426,55
2020-09-18,38,5,,931,460,471,32,412,428,59
2020-09-19,38,6,,1018,504,514,60,411,444,103
2020-09-20,38,7,,584,271,313,17,252,254,61
2020-09-21,39,1,,755,373,382,20,349,353,33
2020-09-22,39,2,,713,342,371,16,336,326,35
2020-09-23,39,3,,962,486,476,36,430,450,46
2020-09-24,39,4,,496,246,250,6,226,240,24
2020-09-25,39,5,,307,148,159,7,138,141,21
2020-09-26,39,6,,345,159,186,16,146,143,40
2020-09-27,39,7,,174,96,78,13,57,83,21
2020-09-28,40,1,,515,250,265,10,242,240,23
2020-09-29,40,2,,836,419,417,12,379,407,38
2020-09-30,40,3,,1150,573,577,37,493,536,84
2020-10-01,40,4,,583,299,284,12,255,287,29
2020-10-02,40,5,,272,130,142,8,131,122,11
2020-10-03,40,6,,616,305,311,32,250,273,61
2020-10-04,40,7,,355,176,179,28,147,148,32
2020-10-05,41,1,,624,309,315,25,290,284,25
2020-10-06,41,2,,347,168,179,7,162,161,17
2020-10-07,41,3,,770,387,383,24,343,363,40
2020-10-08,41,4,,1008,505,503,31,447,474,56
2020-10-09,41,5,,786,398,388,17,344,381,44
2020-10-10,41,6,,486,243,243,17,207,226,36
2020-10-11,41,7,,333,159,174,11,137,148,37
2020-10-12,42,1,,563,292,271,18,257,274,14
2020-10-13,42,2,,717,363,354,14,321,349,33
2020-10-14,42,3,,591,288,303,19,262,269,41
2020-10-15,42,4,,345,171,174,4,162,167,12
2020-10-16,42,5,,475,239,236,11,222,228,14
2020-10-17,42,6,,684,325,359,41,291,284,68
2020-10-18,42,7,,577,265,312,27,236,238,76
2020-10-19,43,1,,904,439,465,37,398,402,67
2020-10-20,43,2,,716,357,359,35,320,322,39
2020-10-21,43,3,,660,337,323,30,291,307,32
2020-10-22,43,4,,479,237,242,10,214,227,28
